Price,Resid_area,Air_qual,Num_rooms,Age,Teachers,Poor_prop,N_hos_beds,N_hot_rooms,Rainfall,Parks,Airport,Sold
46,33.33,0.4429,7.645,49.7,25.1,3.01,8.72,12.368,25,0.05114129,Yes,0
50,31.21,0.401,7.923,24.8,26.4,3.16,8.7,13.4,20,0.048894815,Yes,0
32.2,32.97,0.4,7.088,20.8,24.7,7.85,7.844,12.2576,30,0.042339768,Yes,0
22,32.25,0.389,6.453,31.9,24.7,8.23,10.44,14.176,55,0.034687927,Yes,1
20.1,31.76,0.385,6.23,31.5,21.8,12.93,8.302,10.1608,39,0.033291762,Yes,0
23.2,35.32,0.405,6.209,31.3,23.4,7.14,9.964,14.1856,60,0.043226217,Yes,1
22.3,35.32,0.405,6.315,45.6,23.4,7.6,5.846,12.1784,22,0.034847434,No,0
24.8,35.32,0.405,6.565,22.9,23.4,9.51,9.096,14.1984,60,0.041045876,No,1
28.5,34.95,0.411,6.861,27.9,20.8,3.33,8.07,11.228,53,0.039614292,Yes,1
37.3,34.95,0.411,7.148,27.7,20.8,3.56,8.146,10.2984,37,0.047461264,Yes,0
27.9,34.95,0.411,6.63,23.4,20.8,4.7,8.458,12.2232,37,0.038906315,No,1
23.9,43.92,0.437,6.127,18.4,24,8.58,7.278,14.1912,46,0.04846407,Yes,1
21.7,43.92,0.437,6.009,42.3,24,10.4,8.834,11.1736,23,0.03857924,No,1
28.6,43.92,0.437,6.678,31.1,24,6.27,6.972,10.2288,44,0.042031036,Yes,0
27.1,43.92,0.437,6.549,51,24,7.39,10.442,10.2168,26,0.045355724,No,1
20.3,43.92,0.437,5.79,58,24,15.84,7.606,11.1624,42,0.052079028,Yes,0
22.5,32.24,0.4,6.345,20.1,25.2,4.97,9.45,13.18,48,0.036877731,No,1
29,32.24,0.4,7.041,10,25.2,4.74,7.98,11.232,36,0.04137643,Yes,1
